Unique ID,Geo Category,Regional Jurisdiction,Local Jurisdiction,Issuing Authority,Language,Issuance Type,Weblink,Phase,MVP Desired Source? (March 2021),Contract Alignment,Added as part of pilot work? (Y),Planned Ingestion Date,Target Ingestion Date (Month),Actual Ingestion Date,Statutes/Regulations or  Proposed/Monitoring,In SHRP Inventory?,Legal Monitoring? (Domestic),International Monitoring?,Frequency of Ingestion/Updates,"Ingestion Start Date (ideal to align w/UAT for MVP, should be prior to 3/26/2021)",Lookback on historical content (Y/N)?,Document Level View,Related Issuance Type(s),Citation Standard,Lowest level citation in inventory,Notes,Innodata,DCL,2020, 2021, 2022, 2023,Notes 2,Duplicate ID,Proprietary Sources,Source Display Name,Universal SDC Issuance Type
000738,US State,United States,Nevada,Nevada State Legislature,English,Nevada - Revised Statutes,https://www.leg.state.nv.us/nrs/,2,checked,2020 Amendment 2,,2021-05-03 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Nev. Stat. § 1.1,,,,checked,P0,,,,,,,,STATUTORY_COMPILATION
000741,US State,United States,New Hampshire,New Hampshire State Legislature,English,New Hampshire - Revised Statutes,http://www.gencourt.state.nh.us/rsa/html/nhtoc.htm,3,checked,2021 Contract,,2021-06-25 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,N,Chapter,,N.H. Stat. § 1.1,,,,checked,P0,,,,,,,,STATUTORY_COMPILATION
001524,US State,United States,New Hampshire,New Hampshire State Legislature,English,New Hampshire Admin Code,http://www.gencourt.state.nh.us/rules/about_rules/listagencies.htm,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,checked,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,,,ADMINISTRATIVE_COMPILATION
000743,US State,United States,New Jersey,New Jersey State Legislature,English,New Jersey - Admin Code,https://advance.lexis.com/container?config=00JAA5OTY5MTdjZi1lMzYxLTQxNTEtOWFkNi0xMmU5ZTViODQ2M2MKAFBvZENhdGFsb2coFSYEAfv22IKqMT9DIHrf&crid=14f96b8f-3809-433b-9cfe-0399591bb416&prid=4e700b6c-ad53-4f29-af18-39ab0c92b5ea,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,Lexis,,ADMINISTRATIVE_COMPILATION
000747,US State,United States,New Jersey,New Jersey State Legislature,English,New Jersey - Revised Statutes,https://lis.njleg.state.nj.us/nxt/gateway.dll?f=templates&fn=default.htm&vid=Publish:10.1048/Enu,2,checked,2020 Amendment 2,,2021-05-03 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,N.J. Stat. § 1.1,,level below Title (not explicitly identified as Chapter),,checked,P0,,,,,,,,STATUTORY_COMPILATION
000751,US State,United States,New Mexico,New Mexico State Legislature,English,New Mexico - Revised Statutes,https://nmonesource.com/nmos/nmsa/en/nav_date.do,2,checked,2020 Amendment 2,,2021-05-03 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,N.M. Stat. § 1.1,,,checked,,P0,,,,,,,,
000763,US State,United States,New York,New York State Legislature,English,New York - Revised Statutes (Consolidated Laws of NY),https://www.nysenate.gov/legislation/laws/CONSOLIDATED,1,checked,2020 Amendment 1,,2021-03-19 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Article,,N.Y. [Subject] Code § 1,,,,checked,P0,,,,,,,,STATUTORY_COMPILATION
001525,US State,United States,New York,New York State Legislature,English,New York Admin Code,https://govt.westlaw.com/nycrr/index?__lrTS=20200430213004523&transitionType=Default&contextData=%28sc.Default%29,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,checked,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,Westlaw,,ADMINISTRATIVE_COMPILATION
000768,US State,United States,North Carolina,North Carolina State Legislature,English,North Carolina - North Carolina General Statutes,https://www.ncleg.gov/Laws/GeneralStatutes,1,checked,2020 Amendment 1,,2021-03-19 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,N.C. Stat. § 1.1,,,checked,,P0,,,,,,,,
000772,US State,United States,North Dakota,North Dakota State Legislature,English,North Dakota - Administrative Code,https://www.legis.nd.gov/agency-rules/north-dakota-administrative-code,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,,,ADMINISTRATIVE_COMPILATION
000773,US State,United States,North Dakota,North Dakota State Legislature,English,North Dakota - Revised Statutes (Century Code),https://www.legis.nd.gov/general-information/north-dakota-century-code,3,checked,2021 Contract,,2021-06-25 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,N.D. Stat. § 1.1,,,,checked,P0,,,,,,,,STATUTORY_COMPILATION
000776,US State,United States,Ohio,Ohio State Legislature,English,Ohio - Administrative Code,http://codes.ohio.gov/oac/,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,,checked,P0,,,,,,,,ADMINISTRATIVE_COMPILATION
