"id","state","statecode","county","issuance_type","leg_type","leg_subtype","leg_subsubtype","leg_date","citation_form","citation_example","fullfilename"
"105","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-78","2003-06-04","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-78/2003-06-04/US-GA-GaBills-dc34af94-fb88-11ea-9a6b-06cc42c77c8c.xml"
"106","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-532","2002-05-10","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-532/2002-05-10/US-GA-GaBills-d51045ab-d34a-4499-996b-e959fbbfce29.xml"
"107","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HR-822","2005-03-29","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HR-822/2005-03-29/US-GA-GaBills-ccbaf1d5-6116-4827-bb81-d45f363ae490.xml"
"108","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-170","2003-01-28","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-170/2003-01-28/US-GA-GaBills-49d23359-916b-4934-baa7-6c4c07997b79.xml"
"109","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-157","2004-04-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-157/2004-04-09/US-GA-GaBills-3e92b87e-fb94-11ea-b2e9-06cc42c77c8c.xml"
"110","GEORGIA","GA","","GABILLS ACCA","GEORGIA_BILLS","SESSION-2003-2004","SB-105","2003-05-31","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-105/2003-05-31/US-GA-GaBills-87bbfd73-e756-4857-acca-5ac1728b6b7b.xml"
"111","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-1529","2004-05-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-1529/2004-05-12/US-GA-GaBills-8c6be3b6-fb9c-11ea-81c6-0638f2bea882.xml"
"112","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-82","2003-01-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-82/2003-01-15/US-GA-GaBills-14a43ed4-f8e3-4f8b-9616-875166b13844.xml"
"113","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-141","2009-04-21","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-141/2009-04-21/US-GA-GaBills-a1a9f4e2-fbb6-11ea-b3b6-066380f4e01c.xml"
"114","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2013-2014","SB-139","2013-04-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_SB-139/2013-04-09/US-GA-GaBills-d3778f6e-fbb8-11ea-8261-06550e2e9f68.xml"
"115","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","HB-192","2017-05-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-192/2017-05-09/US-GA-GaBills-417063d9-4a3e-4e22-a30f-1ad1107edb6f.xml"
"116","GEORGIA","GA","","GABILLS FAAA","GEORGIA_BILLS","SESSION-2015-2016","HB-90","2015-03-13","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-90/2015-03-13/US-GA-GaBills-5aeb2dba-faaa-11ea-b1ad-0638f2bea882.xml"
"117","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-353","2002-05-16","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-353/2002-05-16/US-GA-GaBills-ebde4efa-fbb8-11ea-af1d-0612af2c4a7c.xml"
"118","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","SB-59","2009-01-27","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_SB-59/2009-01-27/US-GA-GaBills-099d2e8a-fba4-11ea-874c-0689acfb9e08.xml"
"119","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-142","2003-01-27","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-142/2003-01-27/US-GA-GaBills-7af693d2-4385-4eb6-b34a-407bad154b81.xml"
"120","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HB-1604","2006-03-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HB-1604/2006-03-09/US-GA-GaBills-8a0ae812-4b21-46e2-8248-8891c2b9441c.xml"
"121","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","SB-551","2008-03-04","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_SB-551/2008-03-04/US-GA-GaBills-0f3b8c1c-fb74-11ea-911f-0234ea2d251a.xml"
"122","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-184","2015-05-05","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-184/2015-05-05/US-GA-GaBills-9a925436-fab3-11ea-82c4-0638f2bea882.xml"
"123","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HR-1081","2006-01-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HR-1081/2006-01-12/US-GA-GaBills-8afd14ae-d9ed-498f-882a-a69a6d4f5d9c.xml"
"124","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","HB-308","2017-02-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-308/2017-02-09/US-GA-GaBills-970b700a-fb85-11ea-b575-02cee08e0832.xml"
"125","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HB-163","2007-01-24","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HB-163/2007-01-24/US-GA-GaBills-42103028-fb81-11ea-89e5-028ad73fc84c.xml"
"126","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2013-2014","HB-1","2012-11-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-1/2012-11-15/US-GA-GaBills-fdeb17d4-fae1-11ea-82a8-02f43b61c75a.xml"
"127","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-1243","2010-02-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-1243/2010-02-18/US-GA-GaBills-523f1aa8-fb86-11ea-9cd2-0689acfb9e08.xml"
"128","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","HB-780","2018-05-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-780/2018-05-03/US-GA-GaBills-dd72cf0c-fad2-11ea-9496-02704a55bfc4.xml"
"129","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-475","2002-02-19","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-475/2002-02-19/US-GA-GaBills-da829662-fbb1-11ea-84af-0638f2bea882.xml"
"130","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HB-964","2005-12-29","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HB-964/2005-12-29/US-GA-GaBills-7a5073d7-41f0-4d50-9cf7-60cc8ab46033.xml"
"131","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HB-96","2007-05-16","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HB-96/2007-05-16/US-GA-GaBills-8383b6e2-fb7d-11ea-89b5-028ad73fc84c.xml"
"132","GEORGIA","GA","","GABILLS FABF","GEORGIA_BILLS","SESSION-2017-2018","HB-623","2017-03-22","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-623/2017-03-22/US-GA-GaBills-324089d2-fabf-11ea-83f9-02704a55bfc4.xml"
"133","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","SB-505","2006-05-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_SB-505/2006-05-03/US-GA-GaBills-5030b464-fb9a-11ea-b135-02704a55bfc4.xml"
"134","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-655","2009-03-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-655/2009-03-03/US-GA-GaBills-905c84c1-6478-4bfe-86fd-b242e16d6314.xml"
"135","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HB-1043","2006-01-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HB-1043/2006-01-12/US-GA-GaBills-06f2afaa-b033-4db2-a4da-09cfd350824e.xml"
"136","GEORGIA","GA","","GABILLS FABD","GEORGIA_BILLS","SESSION-2015-2016","HB-530","2015-03-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-530/2015-03-03/US-GA-GaBills-dbcad9d0-fabd-11ea-9cf3-026986fb21f6.xml"
"137","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","HB-1191","2002-01-31","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_HB-1191/2002-01-31/US-GA-GaBills-bf2f73c4-31bf-4b00-9ac7-686e8695ff2b.xml"
"138","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-3","2010-11-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-3/2010-11-15/US-GA-GaBills-028c8768-04f9-11eb-b618-0262fece45de.xml"
"139","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HB-663","2007-03-01","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HB-663/2007-03-01/US-GA-GaBills-0c4543f6-ece2-423a-a987-1bc8f35d52df.xml"
"140","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-759","2016-04-26","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-759/2016-04-26/US-GA-GaBills-205fd2ee-fad0-11ea-a5e8-026986fb21f6.xml"
"141","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-642","2012-05-01","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-642/2012-05-01/US-GA-GaBills-1ca57325-79e0-4d6d-b427-d4ac6af0f71f.xml"
"142","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-951","2012-02-08","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-951/2012-02-08/US-GA-GaBills-68bbfa76-fb93-11ea-858f-066380f4e01c.xml"
"143","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HB-1447","2006-02-23","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HB-1447/2006-02-23/US-GA-GaBills-a5965614-fb97-11ea-8514-0234ea2d251a.xml"
"144","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","SB-266","2007-02-28","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_SB-266/2007-02-28/US-GA-GaBills-7a444f07-96e4-4104-ae82-cc9326ed628d.xml"
"145","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-965","2012-05-01","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-965/2012-05-01/US-GA-GaBills-e323f8a4-fb94-11ea-9f98-066380f4e01c.xml"
"146","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-31","2001-01-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-31/2001-01-12/US-GA-GaBills-03f03e89-0ccb-4309-a8df-a8b67020ef65.xml"
"147","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-11","2001-04-27","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-11/2001-04-27/US-GA-GaBills-831608ce-9e98-4c0a-9685-92f3843712e4.xml"
"148","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-898","2012-03-28","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-898/2012-03-28/US-GA-GaBills-ee665762-fb76-11ea-95fc-06c7300265cc.xml"
"149","GEORGIA","GA","","GABILLS FBBE","GEORGIA_BILLS","SESSION-2011-2012","HB-142","2011-05-13","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-142/2011-05-13/US-GA-GaBills-c31884c0-fbbe-11ea-b1b1-06550e2e9f68.xml"
"150","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-891","2016-02-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-891/2016-02-03/US-GA-GaBills-a35704e0-2c35-4a66-93d4-38e44439f085.xml"
"151","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-945","2012-05-01","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-945/2012-05-01/US-GA-GaBills-53b1bcf9-1da5-4f07-b1d0-dc2d5fe525e4.xml"
"152","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HR-1082","2006-01-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HR-1082/2006-01-12/US-GA-GaBills-155f5a8f-193e-4531-8635-f010e35e6ece.xml"
"153","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-146","2003-01-27","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-146/2003-01-27/US-GA-GaBills-535aa89e-2371-44cc-be2a-a2bc1fcaf115.xml"
"154","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-680","2003-06-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-680/2003-06-03/US-GA-GaBills-ee4fc338-76a7-4402-bf36-883b885cf0c1.xml"
"155","GEORGIA","GA","","GABILLS FAAA","GEORGIA_BILLS","SESSION-2017-2018","HB-323","2017-05-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-323/2017-05-09/US-GA-GaBills-21a79f4c-faaa-11ea-9beb-02704a55bfc4.xml"
"156","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","HB-902","2018-02-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-902/2018-02-12/US-GA-GaBills-3a7717c0-840f-42c8-874a-32a34f323c35.xml"
"157","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-487","2002-02-20","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-487/2002-02-20/US-GA-GaBills-6691d616-1a3b-4528-a33c-b998decb0936.xml"
"158","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","SB-198","2017-02-16","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_SB-198/2017-02-16/US-GA-GaBills-3b67feda-faf3-11ea-8a85-02704a55bfc4.xml"
"159","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HB-720","2007-03-19","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HB-720/2007-03-19/US-GA-GaBills-41226a02-fba2-11ea-b705-028ad73fc84c.xml"
"160","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HB-1030","2008-01-28","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HB-1030/2008-01-28/US-GA-GaBills-fe3c32c4-3863-497f-a3d6-eae0bba2a073.xml"
"161","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HB-808","2005-03-11","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HB-808/2005-03-11/US-GA-GaBills-da4c88b7-6292-4144-a7e8-0904c0dd9236.xml"
"162","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-398","2009-02-11","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-398/2009-02-11/US-GA-GaBills-e4dcf0f2-5e9a-4cf2-9125-7d5eac11ce89.xml"
"163","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001 2ND ","SR-73EX2","2001-09-21","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001 2ND _SR-73EX2/2001-09-21/US-GA-GaBills-a172f88a-c4a7-4d5f-90bc-fee4f5a7cbed.xml"
"164","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","HB-143","2017-05-01","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-143/2017-05-01/US-GA-GaBills-141bc5ee-11a7-403c-80f0-1fabf8c2e22c.xml"
"165","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HB-921","2008-05-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HB-921/2008-05-12/US-GA-GaBills-14a6d2cc-fba8-11ea-bc10-028ad73fc84c.xml"
"166","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","SB-483","2010-03-10","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_SB-483/2010-03-10/US-GA-GaBills-68d53a82-23e1-4e0c-9a2d-0caaa8fac398.xml"
"167","GEORGIA","GA","","GABILLS FAEC","GEORGIA_BILLS","SESSION-2017-2018","HB-66","2017-01-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-66/2017-01-12/US-GA-GaBills-b7c5065c-faec-11ea-b025-02cee08e0832.xml"
"168","GEORGIA","GA","","GABILLS FAEF","GEORGIA_BILLS","SESSION-2017-2018","SB-134","2017-02-07","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_SB-134/2017-02-07/US-GA-GaBills-7333ec48-faef-11ea-906c-02704a55bfc4.xml"
"169","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-387","2015-02-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-387/2015-02-18/US-GA-GaBills-2daa07b5-6b3a-4a54-a7a0-70ede694a29a.xml"
"170","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-239","2011-05-11","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-239/2011-05-11/US-GA-GaBills-9efd6b06-fbb1-11ea-985b-02704a55bfc4.xml"
"171","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2013-2014","HB-883","2014-04-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-883/2014-04-15/US-GA-GaBills-2d7fcf0d-3c45-425a-aab0-c1d606c1e09f.xml"
"172","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2013-2014","HB-982","2014-04-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-982/2014-04-15/US-GA-GaBills-0d588193-555f-4695-9b61-e6f8f502f731.xml"
"173","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-1387","2010-06-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-1387/2010-06-03/US-GA-GaBills-a69e28a0-472e-47a6-ac18-99fd3d4a88e7.xml"
"174","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","HB-941","2001-03-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_HB-941/2001-03-15/US-GA-GaBills-4a48a1aa-7ce9-4670-aa06-ec9cb893022a.xml"
"175","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","SB-70","2007-05-24","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_SB-70/2007-05-24/US-GA-GaBills-4ec3cfb1-047c-45d7-bee8-542a115eec00.xml"
"176","GEORGIA","GA","","GABILLS FAEB","GEORGIA_BILLS","SESSION-2017-2018","HB-12","2016-11-28","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_HB-12/2016-11-28/US-GA-GaBills-2f56182e-faeb-11ea-bc5a-02cee08e0832.xml"
"177","GEORGIA","GA","","GABILLS FAAA","GEORGIA_BILLS","SESSION-2019-2020","SB-52","2019-05-12","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_SB-52/2019-05-12/US-GA-GaBills-2a236bae-faaa-11ea-842c-02cee08e0832.xml"
"178","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2019-2020","HB-185","2019-05-07","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_HB-185/2019-05-07/US-GA-GaBills-930dcd40-fab7-11ea-8ba7-06550e2e9f68.xml"
"179","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-405","2004-05-13","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-405/2004-05-13/US-GA-GaBills-67e903c1-b9b6-46db-ab90-beaf84960936.xml"
"180","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HR-827","2007-04-16","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HR-827/2007-04-16/US-GA-GaBills-48450044-855c-48a9-9c00-09e6bc5ee261.xml"
"181","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","SB-403","2016-02-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_SB-403/2016-02-18/US-GA-GaBills-3b9a5fa4-04f2-11eb-9f56-0262fece45de.xml"
"182","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","SB-54","2009-01-26","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_SB-54/2009-01-26/US-GA-GaBills-523acfdc-fb8c-11ea-9629-0689acfb9e08.xml"
"183","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","HB-220","2001-01-23","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_HB-220/2001-01-23/US-GA-GaBills-2f3c9df1-7e1d-4d39-94fb-1847c8b77eb6.xml"
"184","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HR-825","2007-04-13","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HR-825/2007-04-13/US-GA-GaBills-a28ea427-569b-47f1-9f2b-9403106f48ad.xml"
"185","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-205","2001-04-19","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-205/2001-04-19/US-GA-GaBills-6d28c0e9-a92f-46e2-a80b-becda6c90e90.xml"
"186","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-28","2003-01-27","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-28/2003-01-27/US-GA-GaBills-b19ae202-d7a1-478c-b7ca-8949ef533bbc.xml"
"187","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-349","2003-03-26","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-349/2003-03-26/US-GA-GaBills-6e37818c-fb99-11ea-a8dc-06cc42c77c8c.xml"
"188","GEORGIA","GA","","GABILLS FAAE","GEORGIA_BILLS","SESSION-2013-2014","HB-181","2013-02-01","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-181/2013-02-01/US-GA-GaBills-41bbfa80-faae-11ea-93cb-02f43b61c75a.xml"
"189","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HB-137","2005-01-24","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HB-137/2005-01-24/US-GA-GaBills-a3cbc217-0d52-4b7b-bdf4-1509d8936ec0.xml"
"190","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2013-2014","HB-79","2013-04-24","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-79/2013-04-24/US-GA-GaBills-d597dd7d-d0f3-428f-9c27-ec53dcd47296.xml"
"191","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HB-498","2005-02-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HB-498/2005-02-15/US-GA-GaBills-4d367b0c-6b6e-4eee-a2a1-e2da1b078466.xml"
"192","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","HR-1153","2008-01-31","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_HR-1153/2008-01-31/US-GA-GaBills-717cebe5-9dd7-42de-9f1b-197fe5ffc4c4.xml"
